"Country/Region","averageTemperature","averageTemperatureF","pop2020"
"Burkina Faso","28.2500","82.8500","20903.2730"
"Mali","28.2500","82.8500","20250.8330"
"Kiribati","28.2000","82.7600","119.4490"
"Tuvalu",28,"82.4000","11.7920"
"Djibouti",28,"82.4000",988
"Senegal","27.8500","82.1300","16743.9270"
"Mauritania","27.6500","81.7700","4649.6580"
"Maldives","27.6500","81.7700","540.5440"
"Palau","27.6000","81.6800","18.0940"
"Benin","27.5500","81.5900","12123.2000"
"Gambia","27.5000","81.5000","2416.6680"
"Marshall Islands","27.4000","81.3200","59.1900"
"Ghana","27.2000","80.9600","31072.9400"
"Togo","27.1500","80.8700","8278.7240"
"Seychelles","27.1500","80.8700","98.3470"
"Qatar","27.1500","80.8700","2881.0530"
"Niger","27.1500","80.8700","24206.6440"
"Bahrain","27.1500","80.8700","1701.5750"
"Somalia","27.0500","80.6900","15893.2220"
"United Arab Emirates",27,"80.6000","9890.4020"
"Sri Lanka","26.9500","80.5100","21413.2490"
"Sudan","26.9000","80.4200","43849.2600"
"Brunei","26.8500","80.3300","437.4790"
"Saint Vincent and the Grenadines","26.8000","80.2400","110.9400"
"Nigeria","26.8000","80.2400","206139.5890"
"Cambodia","26.8000","80.2400","16718.9650"
"Guinea-Bissau","26.7500","80.1500","1968.0010"
"Samoa","26.7000","80.0600","198.4140"
"Grenada","26.6500","79.9700","112.5230"
"Chad","26.5500","79.7900","16425.8640"
"Singapore","26.4500","79.6100","5850.3420"
"Ivory Coast","26.3500","79.4300","26378.2740"
"Thailand","26.3000","79.3400","69799.9780"
"Sierra Leone","26.0500","78.8900","7976.9830"
"Barbados",26,"78.8000","287.3750"
"Guyana",26,"78.8000","786.5520"
"Antigua and Barbuda",26,"78.8000","97.9290"
"Philippines","25.8500","78.5300","109581.0780"
"Micronesia","25.8500","78.5300","115.0230"
"Indonesia","25.8500","78.5300","273523.6150"
"Trinidad and Tobago","25.7500","78.3500","1399.4880"
"Suriname","25.7000","78.2600","586.6320"
"Guinea","25.7000","78.2600","13132.7950"
"Solomon Islands","25.6500","78.1700","686.8840"
"Oman","25.6000","78.0800","5106.6260"
"Comoros","25.5500","77.9900","869.6010"
"Saint Lucia","25.5000","77.9000","183.6270"
"Eritrea","25.5000","77.9000","3546.4210"
"Panama","25.4000","77.7200","4314.7670"
"Malaysia","25.4000","77.7200","32365.9990"
"Venezuela","25.3500","77.6300","28435.9400"
"Kuwait","25.3500","77.6300","4270.5710"
"Belize","25.3000","77.5400","397.6280"
"Liberia","25.3000","77.5400","5057.6810"
"Tonga","25.2500","77.4500","105.6950"
"Papua New Guinea","25.2500","77.4500","8947.0240"
"Cuba","25.2000","77.3600","11326.6160"
"Gabon","25.0500","77.0900","2225.7340"
"Bangladesh",25,77,"164689.3830"
"Brazil","24.9500","76.9100","212559.4170"
"Jamaica","24.9500","76.9100","2961.1670"
"Nicaragua","24.9000","76.8200","6624.5540"
"Haiti","24.9000","76.8200","11402.5280"
"Central African Republic","24.9000","76.8200","4829.7670"
"Bahamas","24.8500","76.7300","393.2440"
"Costa Rica","24.8000","76.6400","5094.1180"
"Kenya","24.7500","76.5500","53771.2960"
"Saudi Arabia","24.6500","76.3700","34813.8710"
"Cameroon","24.6000","76.2800","26545.8630"
"Equatorial Guinea","24.5500","76.1900","1402.9850"
"Dominican Republic","24.5500","76.1900","10847.9100"
"Republic of the Congo","24.5500","76.1900","5518.0870"
"Saint Kitts and Nevis","24.5000","76.1000","53.1990"
"Colombia","24.5000","76.1000","50882.8910"
"Vietnam","24.4500","76.0100","97338.5790"
"El Salvador","24.4500","76.0100","6486.2050"
"Fiji","24.4000","75.9200","896.4450"
"DR Congo",24,"75.2000","89561.4030"
"Vanuatu","23.9500","75.1100","307.1450"
"Yemen","23.8500","74.9300","29825.9640"
"Mozambique","23.8000","74.8400","31255.4350"
"Sao Tome and Principe","23.7500","74.7500","219.1590"
"India","23.6500","74.5700","1380004.3850"
"Paraguay","23.5500","74.3900","7132.5380"
"Honduras","23.5000","74.3000","9904.6070"
"Guatemala","23.4500","74.2100","17915.5680"
"Cape Verde","23.3000","73.9400","555.9870"
"Uganda","22.8000","73.0400","45741.0070"
"Laos","22.8000","73.0400","7275.5600"
"Madagascar","22.6500","72.7700","27691.0180"
"Algeria","22.5000","72.5000","43851.0440"
"Mauritius","22.4000","72.3200","1271.7680"
"Tanzania","22.3500","72.2300","59734.2180"
"Dominica","22.3500","72.2300","71.9860"
"Ethiopia","22.2000","71.9600","114963.5880"
